카드,사용금액,카드 혜택,혜택,기본 혜택,프로모션 혜택,프로모션_개월,프로모션 기간,비고,3년,3년p,4년,4년p,5년,5년p,6년,6년p,환급금액,교원
신한,30만원 이상(신한),"16,000 (72개월*프로모션) / 13,000",13000,13000,16000,72,72개월,70만원이상+구독료 7만원 일경우 1만 마이신한포인트 지급,468000,108000,624000,144000,780000,180000,936000,216000,,
신한,70만원 이상(신한),"16,000 (72개월*프로모션) / 16,000",16000,16000,16000,72,72개월,70만원이상+구독료 7만원 일경우 1만 마이신한포인트 지급,576000,0,768000,0,960000,0,1152000,0,,
신한,130만원 이상(신한),"20,000 (72개월*프로모션) / 20,000",20000,20000,20000,72,72개월,70만원이상+구독료 7만원 일경우 1만 마이신한포인트 지급,720000,0,960000,0,1200000,0,1440000,0,,
우리,30만원 이상(우리),"16,000 (72개월*프로모션) / 10,000",16000,10000,16000,72,72개월,,360000,216000,480000,288000,600000,360000,720000,432000,,
우리,70만원 이상(우리),"21,000 (72개월*프로모션) / 15,000",21000,15000,21000,72,72개월,,540000,216000,720000,288000,900000,360000,1080000,432000,,
우리,120만원 이상(우리),"22,000 (72개월*프로모션) / 20,000",22000,20000,22000,72,72개월,,720000,72000,960000,96000,1200000,120000,1440000,144000,,
전북,30만원 이상(전북),"8,000",8000,8000,8000,0,,구독료도 실적에 포함,288000,0,384000,0,480000,0,576000,0,,
전북,100만원 이상(전북),"20,000",20000,20000,20000,0,,구독료도 실적에 포함,720000,0,960000,0,1200000,0,1440000,0,,
하나,30만원 이상(하나),"13,000",13000,13000,13000,0,,구독료도 실적에 포함,468000,0,624000,0,780000,0,936000,0,,
하나,70만원 이상(하나),"17,000",17000,17000,17000,0,,구독료도 실적에 포함,612000,0,816000,0,1020000,0,1224000,0,,
하나,100만원 이상(하나),"20,000",20000,20000,20000,0,,구독료도 실적에 포함,720000,0,960000,0,1200000,0,1440000,0,,
현대,30만원 이상(현대),"13,000 (36개월)",13000,0,13000,36,,36개월 이후 혜택 미적용 (누적 46.8만 혜택),0,468000,0,468000,0,468000,0,468000,,
현대,70만원 이상(현대),"18,000 (36개월)",18000,0,18000,36,,36개월 이후 혜택 미적용 (누적 64.8만 혜택),0,648000,0,648000,0,648000,0,648000,,
NH,30만원 이상(NH),"10,000",10000,10000,10000,0,,,360000,0,480000,0,600000,0,720000,0,,
NH,60만원 이상(NH),"15,000",15000,15000,15000,0,,,540000,0,720000,0,900000,0,1080000,0,,
NH,100만원 이상(NH),"20,000",20000,20000,20000,0,,,720000,0,960000,0,1200000,0,1440000,0,,
광주,30만원 이상(광주),"8,000",8000,8000,8000,0,,구독료도 실적에 포함,288000,0,384000,0,480000,0,576000,0,,
광주,100만원 이상(광주),"20,000",20000,20000,20000,0,,구독료도 실적에 포함,720000,0,960000,0,1200000,0,1440000,0,,
국민,30만원 이상(국민),"16,000 (36개월*프로모션) / 10,000",20000,10000,16000,36,36개월,아파트 관리비도 실적에 포함,360000,216000,480000,216000,600000,216000,720000,216000,,
국민,80만원 이상(국민),"21,000 (36개월*프로모션) / 15,000",25000,15000,21000,36,36개월,아파트 관리비도 실적에 포함,540000,216000,720000,216000,900000,216000,1080000,216000,,
롯데,30만원 이상(롯데),"16,000 (72개월*프로모션) / 13,000",16000,13000,16000,72,72개월,아멕스 카드 발급시에만 프로모션 혜택 적용,468000,108000,624000,144000,780000,180000,936000,216000,,
롯데,80만원 이상(롯데),"20,000 (72개월*프로모션) / 18,000",20000,18000,20000,72,72개월,아멕스 카드 발급시에만 프로모션 혜택 적용,648000,72000,864000,96000,1080000,120000,1296000,144000,,
롯데,160만원 이상(롯데),"26,000",26000,26000,26000,0,,아멕스 카드 발급시에만 프로모션 혜택 적용,936000,0,1248000,0,1560000,0,1872000,0,,
교원72,교원 72 1구좌,"10,000",10000,10000,10000,0,,교원72 상품은 1인 최대 2구좌 까지 가입 가능,720000,0,720000,0,720000,0,720000,0,5990000,교원
교원72,교원 72 2구좌,"20,000","20,000","20,000","20,000",0,,교원72 상품은 1인 최대 2구좌 까지 가입 가능,1440000,0,1440000,0,1440000,0,1440000,0,11980000,교원
교원72,교원 72 1구좌 + 30만원 이상(신한),"10,000 + 13,000",23000,23000,23000,0,,교원72 상품은 1인 최대 2구좌 까지 가입 가능,720000,576000,720000,768000,720000,960000,720000,1152000,5990000,교원
교원72,교원 72 2구좌 + 30만원 이상(신한),"20,000 + 13,000",33000,33000,33000,0,,교원72 상품은 1인 최대 2구좌 까지 가입 가능,1440000,576000,1440000,768000,1440000,960000,1440000,1152000,11980000,교원
교원80,교원80 1구좌,"11,150",11150,11150,11150,0,,교원80 상품은 1인 최대 2구좌 까지 가입 가능,800000,0,800000,0,800000,0,800000,0,3990000,교원
교원80,교원80 2구좌,"22,300",22300,22300,22300,0,,교원80 상품은 1인 최대 2구좌 까지 가입 가능,1600000,0,1600000,0,1600000,0,1600000,0,7980000,교원
교원80,교원80 1구좌 + 30만원 이상(신한),"11,150 + 13,000",24150,24150,24150,0,,교원80 상품은 1인 최대 2구좌 까지 가입 가능,800000,576000,800000,768000,800000,960000,800000,1152000,3990000,교원
교원80,교원80 2구좌 + 30만원 이상(신한),"22,300 + 13,000",35300,35300,35300,0,,교원80 상품은 1인 최대 2구좌 까지 가입 가능,1600000,576000,1600000,768000,1600000,960000,1600000,1152000,7980000,교원
교원108,교원108 1구좌,"15,000",15000,15000,15000,0,,교원108 상품은 1인 최대 2구좌 까지 가입 가능,1080000,0,1080000,0,1080000,0,1080000,0,5990000,교원
교원108,교원108 2구좌,"30,000","30,000","30,000","30,000",0,,교원108 상품은 1인 최대 2구좌 까지 가입 가능,2160000,0,2160000,0,2160000,0,2160000,0,11980000,교원
교원108,교원108 1구좌 + 30만원 이상(신한),"15,000 + 13,000",28000,28000,28000,0,,교원108 상품은 1인 최대 2구좌 까지 가입 가능,1080000,576000,1080000,768000,1080000,960000,1080000,1152000,5990000,교원
교원108,교원108 2구좌 + 30만원 이상(신한),"30,000 + 13,000",43000,43000,43000,0,,교원108 상품은 1인 최대 2구좌 까지 가입 가능,2160000,576000,2160000,768000,2160000,960000,2160000,1152000,11980000,교원
교원130,교원130 1구좌,"18,100",18100,18100,18100,0,,교원130 상품은 1인 최대 4구좌 까지 가입 가능,1300000,0,1300000,0,1300000,0,1300000,0,5990000,교원
교원130,교원130 2구좌,"36,200",36200,36200,36200,0,,교원130 상품은 1인 최대 4구좌 까지 가입 가능,2600000,0,2600000,0,2600000,0,2600000,0,11980000,교원
교원130,교원130 3구좌,"54,300",54300,54300,54300,0,,교원130 상품은 1인 최대 4구좌 까지 가입 가능,3900000,0,3900000,0,3900000,0,3900000,0,17970000,교원
교원130,교원130 4구좌,"72,400",72400,72400,72400,0,,교원130 상품은 1인 최대 4구좌 까지 가입 가능,5200000,0,5200000,0,5200000,0,5200000,0,23960000,교원
교원130,교원130 1구좌 + 30만원 이상(신한),"18,100 + 13,000",31100,31100,31100,0,,교원130 상품은 1인 최대 4구좌 까지 가입 가능,1300000,576000,1300000,768000,1300000,960000,1300000,1152000,5990000,교원
교원130,교원130 2구좌 + 30만원 이상(신한),"36,200 + 13,000",49200,49200,49200,0,,교원130 상품은 1인 최대 4구좌 까지 가입 가능,2600000,576000,2600000,768000,2600000,960000,2600000,1152000,11980000,교원
교원130,교원130 3구좌 + 30만원 이상(신한),"54,300 + 13,000",67300,67300,67300,0,,교원130 상품은 1인 최대 4구좌 까지 가입 가능,3900000,576000,3900000,768000,3900000,960000,3900000,1152000,17970000,교원
교원130,교원130 4구좌 + 30만원 이상(신한),"72,400 + 13,000",85400,85400,85400,0,,교원130 상품은 1인 최대 4구좌 까지 가입 가능,5200000,576000,5200000,768000,5200000,960000,5200000,1152000,23960000,교원
교원144,교원144 1구좌,"20,000",20000,20000,20000,0,,교원144 상품은 1인 최대 4구좌 까지 가입 가능,1440000,0,1440000,0,1440000,0,1440000,0,5990000,교원
교원144,교원144 2구좌,"40,000","40,000","40,000","40,000",0,,교원144 상품은 1인 최대 4구좌 까지 가입 가능,2880000,0,2880000,0,2880000,0,2880000,0,11980000,교원
교원144,교원144 3구좌,"60,000","60,000","60,000","60,000",0,,교원144 상품은 1인 최대 4구좌 까지 가입 가능,4320000,0,4320000,0,4320000,0,4320000,0,17970000,교원
교원144,교원144 4구좌,"80,000","80,000","80,000","80,000",0,,교원144 상품은 1인 최대 4구좌 까지 가입 가능,5760000,0,5760000,0,5760000,0,5760000,0,23960000,교원
교원144,교원144 1구좌 + 30만원 이상(신한),"20,000 + 13,000",33000,33000,33000,0,,교원144 상품은 1인 최대 4구좌 까지 가입 가능,1440000,576000,1440000,768000,1440000,960000,1440000,1152000,5990000,교원
교원144,교원144 2구좌 + 30만원 이상(신한),"40,000 + 13,000",53000,53000,53000,0,,교원144 상품은 1인 최대 4구좌 까지 가입 가능,2880000,576000,2880000,768000,2880000,960000,2880000,1152000,11980000,교원
교원144,교원144 3구좌 + 30만원 이상(신한),"60,000 + 13,000",73000,73000,73000,0,,교원144 상품은 1인 최대 4구좌 까지 가입 가능,4320000,576000,4320000,768000,4320000,960000,4320000,1152000,17970000,교원
교원144,교원144 4구좌 + 30만원 이상(신한),"80,000 + 13,000",93000,93000,93000,0,,교원144 상품은 1인 최대 4구좌 까지 가입 가능,5760000,576000,5760000,768000,5760000,960000,5760000,1152000,23960000,교원
더피플70,더피플70 1구좌,"9,800",9800,9800,9800,0,,1인 4구좌 까지 가입가능 ,705600,0,705600,0,705600,0,705600,0,4950000,더피플
더피플70,더피플70 2구좌,"19,600",19600,19600,19600,0,,1인 4구좌 까지 가입가능 ,1411200,0,1411200,0,1411200,0,1411200,0,9900000,더피플
더피플70,더피플70 3구좌,"29,400",29400,29400,29400,0,,1인 4구좌 까지 가입가능 ,2116800,0,2116800,0,2116800,0,2116800,0,14850000,더피플
더피플70,더피플70 4구좌,"39,200",39200,39200,39200,0,,1인 4구좌 까지 가입가능 ,2822400,0,2822400,0,2822400,0,2822400,0,19800000,더피플
더피플70,더피플70 1구좌 + 30만원 이상(롯데),"9,800 + 16,000",25800,25800,25800,72,,1인 4구좌 까지 가입가능 ,705600,576000,705600,768000,705600,960000,705600,1152000,4950000,더피플
더피플70,더피플70 2구좌 + 30만원 이상(롯데),"19,600 + 16,000",35600,35600,35600,72,,1인 4구좌 까지 가입가능 ,1411200,576000,1411200,768000,1411200,960000,1411200,1152000,9900000,더피플
더피플70,더피플70 3구좌 + 30만원 이상(롯데),"29,400 + 16,000",45400,45400,45400,72,,1인 4구좌 까지 가입가능 ,2116800,576000,2116800,768000,2116800,960000,2116800,1152000,14850000,더피플
더피플70,더피플70 4구좌 + 30만원 이상(롯데),"39,200 + 16,000",55200,55200,55200,72,,1인 4구좌 까지 가입가능 ,2822400,576000,2822400,768000,2822400,960000,2822400,1152000,19800000,더피플
더피플110,더피플110 1구좌,"15,300",15300,15300,15300,0,,1인 4구좌 까지 가입가능 ,1101600,0,1101600,0,1101600,0,1101600,0,5990000,더피플
더피플110,더피플110 2구좌,"30,600",30600,30600,30600,0,,1인 4구좌 까지 가입가능 ,2203200,0,2203200,0,2203200,0,2203200,0,11980000,더피플
더피플110,더피플110 3구좌,"45,900",45900,45900,45900,0,,1인 4구좌 까지 가입가능 ,3304800,0,3304800,0,3304800,0,3304800,0,17970000,더피플
더피플110,더피플110 4구좌,"61,200",61200,61200,61200,0,,1인 4구좌 까지 가입가능 ,4406400,0,4406400,0,4406400,0,4406400,0,23960000,더피플
더피플110,더피플110 1구좌 + 30만원 이상(롯데),"15,300 + 16,000",31300,31300,31300,72,,1인 4구좌 까지 가입가능 ,1101600,576000,1101600,768000,1101600,960000,1101600,1152000,5990000,더피플
더피플110,더피플110 2구좌 + 30만원 이상(롯데),"30,600 + 16,000",46600,46600,46600,72,,1인 4구좌 까지 가입가능 ,2203200,576000,2203200,768000,2203200,960000,2203200,1152000,11980000,더피플
더피플110,더피플110 3구좌 + 30만원 이상(롯데),"45,900 + 16,000",61900,61900,61900,72,,1인 4구좌 까지 가입가능 ,3304800,576000,3304800,768000,3304800,960000,3304800,1152000,17970000,더피플
더피플110,더피플110 4구좌 + 30만원 이상(롯데),"61,200 + 16,000",77200,77200,77200,72,,1인 4구좌 까지 가입가능 ,4406400,576000,4406400,768000,4406400,960000,4406400,1152000,23960000,더피플
사용안함,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,